"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","main"
"US-CA-*-Rate 1","US","CA","*","8.2500","","","",""
"US-NY-*-Rate 1","US","NY","*","8.3750","","","",""
"VAT","GB","*","*","20.0000","","","",""
"EU ZERORATED14","HU","*","*","20.0000","","","",""
"EU ZERORATED15","IE","*","*","20.0000","","","",""
"EU ZERORATED23","PL","*","*","20.0000","","","",""
"EU ZERORATED2","AT","*","*","20.0000","","","",""
"EU VAT12","FR","*","*","20.0000","","","",""
"EU ZERORATED12","FR","*","*","20.0000","","","",""
"EU ZERORATED10 ","ES","*","*","20.0000","","","",""
"EU VAT18","LT","*","*","20.0000","","","",""
"EU VAT10 ","ES","*","*","20.0000","","","",""
"VAT GY ","GG","*","*","20.0000","","","",""
"EU VAT27 ","SE","*","*","20.0000","","","",""
"EU VAT11 ","FI","*","*","20.0000","","","",""
"EU ZERORATED5 ","CY","*","*","20.0000","","","",""
"EU ZERORATED8 ","DK","*","*","20.0000","","","",""
"EU ZERORATED9 ","EE","*","*","20.0000","","","",""
"EU VAT4 ","BG","*","*","20.0000","","","",""
"EU ZERORATED6 ","CZ","*","*","20.0000","","","",""
"EU VAT26 ","RO","*","*","20.0000","","","",""
"EU VAT13","GR","*","*","20.0000","","","",""
"ZERORATED GY ","GG","*","GY*","0.0000","","","",""
"EU ZERORATED7 ","DE","*","*","20.0000","","","",""
"EU VAT2 ","AT","*","*","20.0000","","","",""
"EU VAT3 ","BE","*","*","20.0000","","","",""
"EU ZERORATED11 ","FI","*","*","20.0000","","","",""
"EU VAT28 ","SI","*","*","20.0000","","","",""
"VAT-TAX","IT","*","*","20.0000","","","",""
"ZERORATED MT ","MT","*","*","20.0000","","","",""
"EU VAT24 ","PT","*","*","20.0000","","","",""
"EU ZERORATED3 ","BE","*","*","20.0000","","","",""
"EU VAT5 ","CY","*","*","20.0000","","","",""
"EU VAT14 ","HU","*","*","20.0000","","","",""
" EU VAT15 ","IE","*","*","20.0000","","","",""
"VAT LV ","LV","*","*","20.0000","","","",""
"ZERORATED JE ","JE","*","JE*","0.0000","","","",""
"EU ZERORATED4 ","BG","*","*","20.0000","","","",""
"EU ZERORATED28 ","SI","*","*","20.0000","","","",""
"EU VAT8 ","DK","*","*","20.0000","","","",""
"EU ZERORATED21 ","NL","*","*","20.0000","","","",""
"EU VAT23","PL","*","*","20.0000","","","",""
"EU ZERORATED18 ","LT","*","*","20.0000","","","",""
"VAT MT ","MT","*","*","20.0000","","","",""
"EU VAT6 ","CZ","*","*","20.0000","","","",""
"EU ZERORATED27 ","SE","*","*","20.0000","","","",""
"ZERORATED LV ","LV","*","*","20.0000","","","",""
"EU VAT7 ","DE","*","*","20.0000","","","",""
"EU VAT21 ","NL","*","*","20.0000","","","",""
"EU ZERORATED13","GR","*","*","20.0000","","","",""
"EU ZERORATED19 ","LU","*","*","20.0000","","","",""
"EU VAT29 ","SK","*","*","20.0000","","","",""
"EU ZERORATED26 ","RO","*","*","20.0000","","","",""
"VAT JE ","JE","*","JE*","0.0000","","","",""
"EU VAT19 ","LU","*","*","20.0000","","","",""
"EU VAT9 ","EE","*","*","20.0000","","","",""
"EU VAT16 ","IT","*","*","20.0000","","","",""
"EU ZERORATED16","IT","*","*","20.0000","","","",""
